"ngram","Full_Rank","Tool_Rank","Control_Rank","Full_Freq","Tool_Freq","Control_Freq","Full vs Tool: LL","Full vs Tool: %DIFF","Full vs Tool: BIC","Full vs Tool: ELL","Full vs Tool: RRisk","Full vs Tool: LogRatio","Full vs Tool: OddsRatio","Full vs Control: LL","Full vs Control: %DIFF","Full vs Control: BIC","Full vs Control: ELL","Full vs Control: RRisk","Full vs Control: LogRatio","Full vs Control: OddsRatio","Tool vs Control: LL","Tool vs Control: %DIFF","Tool vs Control: BIC","Tool vs Control: ELL","Tool vs Control: RRisk","Tool vs Control: LogRatio","Tool vs Control: OddsRatio"
"letter","1","1","2","126","133","87","2.7224821326679326","22.813397129186602870813397056","-5.1119101702425074","0.0002280782187703914058771237","1.2281339712918660287081339706","0.296467946030593","1.2576461688101156381714038691","2.7315818199420888","25.736677115987460815047021883","-4.8964493069882512","0.0002892807150155422990562149","1.2573667711598746081504702188","0.330405542162277","1.2906606245132054096155207814","0.02915170926938328","2.3802614821621447340845706291","-7.74612413721747672","0.0000027328796299112498221736","1.0238026148216214473408457063","0.0339375961316843","1.0262509889680063293952405078"
"adam","2","2","1","110","130","102","0.5084225993123320","9.692307692307692307692307739","-7.3259697035981080","0.0000432915167383459250505542","1.0969230769230769230769230774","0.133462358528071","1.1076923076923076923076923073","0.2292373507610092","-6.3725490196078431372549019658","-7.3987937761693308","0.0000243016440449254586001288","0.9362745098039215686274509803","-0.0949965139357469","0.9291938997821350762527233112","1.4227136338075548","-14.645381294172648021340373497","-6.3525622126793052","0.0001318122633641591099036321","0.853546187058273519786596265","-0.228458872463818","0.8388556039699830549503752118"
"lazy","3","7","0","82","46","0","21.757080479373956","131.09090909090909090909090916","13.922688176463516","0.0021422257369540783057032134","2.3109090909090909090909090916","1.20846050659294","2.4165029469548133595284872334","97.157780331617544","14138.181818181818181818180542","89.529749204687204","0.0129655845037484974419013255","142.38181818181818181818180542","7.15362111912917","153.77013752455795677799607796","42.549907318426232","6061.2903225806451612903220267","34.774631471939372","0.00610775424178361243099339","61.612903225806451612903220267","5.94516061253624","63.633333333333333333333336235"
"love","4","4","5","80","68","45","6.574634940751992","52.513368983957219251336898378","-1.259757362158448","0.0006247855482667508279180312","1.5251336898395721925133689838","0.608935711668889","1.5663206459054209919261822374","5.608738985058800","54.343434343434343434343434306","-2.019292141871540","0.0006719146822342111108542653","1.5434343434343434343434343431","0.626144113068777","1.5860566448801742919389978197","0.00385588455875574","1.1999376655758142434159264324","-7.77141996192810426","0.0000004246235321126540403668","1.0119993766557581424341592643","0.0172084013998875","1.0126002290950744558991981663"
"ai","5","3","9","74","102","32","0.1618895761110480","-5.950089126559714795008912659","-7.6725027267993920","0.0000147699886124584159771419","0.9404991087344028520499108734","-0.0885015183106796","0.9362076214501395099950311507","11.699028839709344","100.76704545454545454545454564","4.070997712779004","0.0014608118518870711921660894","2.0076704545454545454545454564","1.00552248014004","2.0803484405458089668615984385","15.728651771296796","113.46861851332398316970547005","7.953375924809936","0.0016579932706837930881617049","2.1346861851332398316970547005","1.09402399845072","2.222101586102719033232628397"
"write","6","6","6","60","51","41","4.930976205563994","52.513368983957219251336898415","-2.903416097346446","0.0005033487363452425738349907","1.5251336898395721925133689842","0.608935711668889","1.5554298642533936651583710406","1.414015200603226","27.05099778270509977827050981","-6.214015926327114","0.0001787791325060296211745824","1.2705099778270509977827050981","0.345407705501524","1.2861163227016885553470919323","0.7523343654013242","-16.695173263093079738651524083","-7.0229414810855358","0.0000875705354670361621060385","0.8330482673690692026134847592","-0.263528006167365","0.8268558758314855875831485587"
"partner","7","5","4","50","61","56","0.1010633292336606","6.259314456035767511177347461","-7.7333289736767794","0.0000103164357198085217125086","1.0625931445603576751117734746","0.0875893102437047","1.0655737704918032786885245895","1.716984850136144","-22.483766233766233766233766181","-5.911046276794196","0.0002143931648476678664471","0.7751623376623376623376623382","-0.36742961777179","0.7644557823129251700680272104","2.879488674032506","-27.049939891805249449008214887","-4.895787172454354","0.0003142332518403267955181304","0.7295006010819475055099178511","-0.455018928015495","0.717412349555206698063840921"
"feelings","9","8","19","22","39","14","1.413014809212416","-26.871794871794871794871794975","-6.421377493698024","0.0001705687651665958188738277","0.7312820512820512820512820503","-0.451500142193085","0.7257980115122972265829408677","0.841553027072560","36.428571428571428571428571385","-6.786478099857780","0.0001453624088774387833743622","1.3642857142857142857142857138","0.448145811090782","1.371720116618075801749271132","4.366762108970920","86.56080945702264075335604108","-3.408513737515940","0.0005999891914379281972321766","1.8656080945702264075335604108","0.899645953283867","1.8899474714182717066639200697"
"written","10","25","49","21","14","5","3.814294416772448","94.45454545454545454545454624","-4.020097886137992","0.0005543325490207853277556737","1.9445454545454545454545454624","0.959432958753022","1.9629286376274328081556997191","8.455057458146418","264.63636363636363636363636618","0.827026331216078","0.0016511845167175046324652222","3.6463636363636363636363636618","1.86645844240249","3.6978683966635773864689527363","1.589071079658240","87.51753155680224403927068779","-6.186204766828620","0.000328625187989976517100373","1.8751753155680224403927068779","0.907025483649464","1.8838526912181303116147308821"
"€","11","10","46","20","30","6","0.2577291802050400","-13.575757575757575757575757358","-7.5766631227054000","0.0000331193175096906234630255","0.8642424242424242424242424264","-0.21049204268929","0.861728395061728395061728393","6.103848758929416","189.39393939393939393939394156","-1.524182368000924","0.0011920179860420618926373833","2.8939393939393939393939394156","1.5330347086773","2.9290123456790123456790123531","9.281201764456956","234.85273492286115007012622888","1.505925917970096","0.0014599600402016746607310802","3.3485273492286115007012622888","1.74352675136659","3.3989971346704871060171919938"
"™","12","11","53","19","26","5","0.0322096835062114","-5.2657342657342657342657340761","-7.8021826194042286","0.0000042856543980409500263412","0.9473426573426573426573426592","-0.0780417466656408","0.9464171351312886928058065878","6.848369729927584","229.90909090909090909090909357","-0.779661397002756","0.0013818024516403826074803444","3.2990909090909090909090909357","1.72206853306731","3.3395004625346901017576318187","8.401494250096634","248.24684431977559607293127841","0.626218403609774","0.0013999862070872751095911022","3.4824684431977559607293127841","1.80011027973295","3.5285714285714285714285714305"
"effort","8","9","10","34","39","30","0.2710398157997932","13.016317016317016317016316824","-7.5633524871106468","0.0000310193388791072222748198","1.1301631701631701631701631682","0.176531080419957","1.134314715928224371001106463","0.00417652434995448","-1.6060606060606060606060606219","-7.62385460258038552","0.000000599066772991662124432","0.9839393939393939393939393938","-0.0233586398470903","0.9834271419637273295809881201","0.3233091737723808","-12.938288920056100981767180792","-7.4519666727144792","0.0000408930642344738585315331","0.8706171107994389901823281921","-0.199889720267048","0.8669790915645277577505407359"
"personal","13","18","24","19","20","12","0.4211319065307760","23.154545454545454545454545836","-7.4132603963796640","0.0000588647827072140389365625","1.2315454545454545454545454584","0.300469876588089","1.2356151711378353376503237713","0.759604389415362","37.462121212121212121212121229","-6.868426737514978","0.0001385619399051982954717178","1.3746212121212121212121212123","0.459034127233518","1.3812056737588652482269503571","0.0913907225411896","11.617578307620383356708742071","-7.6838851239456704","0.0000150394820068927536392678","1.1161757830762038335670874207","0.158564250645429","1.1178283546704599336178283594"
"word","18","0","0","14","0","0","19.499062552705432","3529.8181818181818181818185936","11.664670249794992","0.0041888715571312908178492623","36.298181818181818181818185936","5.18182538008947","36.753222836095764272559857346","13.915505709776014","2330.9090909090909090909088693","6.287474582845674","0.0035493412205898906104059678","24.309090909090909090909088693","4.60342403656869","24.609576427255985267034991939","0.0399173903988630","-33.02945301542776998597476826","-7.7353584560879970","-0.0000183511602715841172947404","0.6697054698457223001402523174","-0.578401343520777","0.6695896176780077165906698864"
