id,treatment,attention,age,gender,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust,order,task,competent,warm,moral,lazy,trustworthy
1,AI_Full_Deception,TikTok,19,Male,7,Yes,5,3,1,Writing a bereavement card to a family member,1,2,4,7,4
1,AI_Full_Deception,TikTok,19,Male,7,Yes,5,3,2,Writing computer code,4,4,5,6,4
1,AI_Full_Deception,TikTok,19,Male,7,Yes,5,3,3,Writing wedding vows,4,2,5,6,4
1,AI_Full_Deception,TikTok,19,Male,7,Yes,5,3,4,Generating a shopping list,4,4,5,4,5
1,AI_Full_Deception,TikTok,19,Male,7,Yes,5,3,5,Writing an apology letter to a friend,3,2,2,6,2
1,AI_Full_Deception,TikTok,19,Male,7,Yes,5,3,6,Creating a daily schedule,6,5,5,3,5
2,Control,TikTok,42,Female,5,Yes,2,3,1,Planning a city tour for a friend,6,6,6,2,5
2,Control,TikTok,42,Female,5,Yes,2,3,2,Writing wedding vows,6,6,5,2,7
2,Control,TikTok,42,Female,5,Yes,2,3,3,Writing a bereavement card to a family member,6,6,6,1,5
2,Control,TikTok,42,Female,5,Yes,2,3,4,Writing a poem,5,6,6,2,6
2,Control,TikTok,42,Female,5,Yes,2,3,5,Writing a cover letter for a job application,7,5,6,1,5
2,Control,TikTok,42,Female,5,Yes,2,3,6,Planning a syllabus,6,6,6,1,6
3,AI_Full_Deception,TikTok,30,Male,6,Yes,3,3,1,Writing a cover letter for a job application,3,3,3,6,4
3,AI_Full_Deception,TikTok,30,Male,6,Yes,3,3,2,Writing wedding vows,3,2,3,5,3
3,AI_Full_Deception,TikTok,30,Male,6,Yes,3,3,3,Planning a surprise birthday party for a friend,3,2,3,5,3
3,AI_Full_Deception,TikTok,30,Male,6,Yes,3,3,4,Writing an apology letter to a friend,2,2,2,6,3
3,AI_Full_Deception,TikTok,30,Male,6,Yes,3,3,5,Writing computer code,3,3,3,5,3
3,AI_Full_Deception,TikTok,30,Male,6,Yes,3,3,6,Solving a mathematical equation,2,3,3,6,3
4,AI_Tool_Deception,TikTok,22,Male,6,Yes,4,5,1,Writing an apology letter to a friend,3,2,2,6,2
4,AI_Tool_Deception,TikTok,22,Male,6,Yes,4,5,2,Writing a dinner recipe,3,2,2,5,3
4,AI_Tool_Deception,TikTok,22,Male,6,Yes,4,5,3,Writing a poem,3,2,2,4,3
4,AI_Tool_Deception,TikTok,22,Male,6,Yes,4,5,4,Writing a bereavement card to a family member,3,2,2,3,2
4,AI_Tool_Deception,TikTok,22,Male,6,Yes,4,5,5,Planning a city tour for a friend,3,3,2,3,2
4,AI_Tool_Deception,TikTok,22,Male,6,Yes,4,5,6,Writing a short story,4,3,3,4,2
5,AI_Tool_Deception,TikTok,37,Male,6,Yes,4,6,1,Solving a mathematical equation,6,6,5,3,5
5,AI_Tool_Deception,TikTok,37,Male,6,Yes,4,6,2,Planning a city tour for a friend,6,5,5,3,5
5,AI_Tool_Deception,TikTok,37,Male,6,Yes,4,6,3,Writing wedding vows,5,5,4,5,5
5,AI_Tool_Deception,TikTok,37,Male,6,Yes,4,6,4,Planning a syllabus,4,5,5,4,5
5,AI_Tool_Deception,TikTok,37,Male,6,Yes,4,6,5,Writing an apology letter to a friend,4,3,5,5,4
5,AI_Tool_Deception,TikTok,37,Male,6,Yes,4,6,6,Writing a poem,2,5,3,3,2
6,AI_Tool_Deception,TikTok,25,Female,5,Yes,2,3,1,Writing a bereavement card to a family member,4,2,3,6,2
6,AI_Tool_Deception,TikTok,25,Female,5,Yes,2,3,2,Writing a poem,5,5,3,4,3
6,AI_Tool_Deception,TikTok,25,Female,5,Yes,2,3,3,Writing a love letter,4,5,3,4,3
6,AI_Tool_Deception,TikTok,25,Female,5,Yes,2,3,4,Writing a dinner recipe,5,3,4,4,3
6,AI_Tool_Deception,TikTok,25,Female,5,Yes,2,3,5,Writing a cover letter for a job application,4,3,2,5,2
6,AI_Tool_Deception,TikTok,25,Female,5,Yes,2,3,6,Planning a city tour for a friend,5,4,5,4,4
7,AI_Tool_Honest,Newspapers,22,Female,7,Yes,5,6,1,Writing computer code,3,3,4,4,5
7,AI_Tool_Honest,Newspapers,22,Female,7,Yes,5,6,2,Writing a bereavement card to a family member,6,6,6,3,6
7,AI_Tool_Honest,Newspapers,22,Female,7,Yes,5,6,3,Writing a short story,5,3,3,4,5
7,AI_Tool_Honest,Newspapers,22,Female,7,Yes,5,6,4,Planning a syllabus,6,6,5,3,6
7,AI_Tool_Honest,Newspapers,22,Female,7,Yes,5,6,5,Planning a city tour for a friend,7,7,7,3,7
7,AI_Tool_Honest,Newspapers,22,Female,7,Yes,5,6,6,Planning a surprise birthday party for a friend,7,7,7,3,7
8,AI_Full_Honest,TikTok,37,Female,6,Yes,4,5,1,Writing computer code,4,3,3,5,4
8,AI_Full_Honest,TikTok,37,Female,6,Yes,4,5,2,Writing a bereavement card to a family member,4,2,3,5,4
8,AI_Full_Honest,TikTok,37,Female,6,Yes,4,5,3,Writing a marriage proposal,4,1,2,6,4
8,AI_Full_Honest,TikTok,37,Female,6,Yes,4,5,4,Writing a dinner recipe,4,3,4,6,4
8,AI_Full_Honest,TikTok,37,Female,6,Yes,4,5,5,Writing wedding vows,4,2,2,6,4
8,AI_Full_Honest,TikTok,37,Female,6,Yes,4,5,6,Generating a shopping list,4,3,4,3,4
9,Control,TikTok,31,Male,6,Yes,3,5,1,Writing a dinner recipe,6,4,4,2,4
9,Control,TikTok,31,Male,6,Yes,3,5,2,Planning a surprise birthday party for a friend,5,5,5,2,4
9,Control,TikTok,31,Male,6,Yes,3,5,3,Writing wedding vows,5,4,4,2,4
9,Control,TikTok,31,Male,6,Yes,3,5,4,Writing a love letter,5,5,4,2,4
9,Control,TikTok,31,Male,6,Yes,3,5,5,Planning a syllabus,5,4,4,2,4
9,Control,TikTok,31,Male,6,Yes,3,5,6,Writing a short story,5,4,4,2,4
10,AI_Tool_Deception,TikTok,39,Male,6,Yes,4,6,1,Planning a city tour for a friend,5,5,4,2,4
10,AI_Tool_Deception,TikTok,39,Male,6,Yes,4,6,2,Writing a bereavement card to a family member,5,2,2,2,3
10,AI_Tool_Deception,TikTok,39,Male,6,Yes,4,6,3,Generating a shopping list,5,3,3,3,3
10,AI_Tool_Deception,TikTok,39,Male,6,Yes,4,6,4,Writing a dinner recipe,5,3,3,3,3
10,AI_Tool_Deception,TikTok,39,Male,6,Yes,4,6,5,Planning a syllabus,5,3,2,2,2
10,AI_Tool_Deception,TikTok,39,Male,6,Yes,4,6,6,Planning a surprise birthday party for a friend,5,2,2,2,2
11,AI_Full_Deception,TikTok,28,Female,5,Yes,4,4,1,Generating a shopping list,4,4,2,6,2
11,AI_Full_Deception,TikTok,28,Female,5,Yes,4,4,2,Planning a syllabus,4,4,2,2,2
11,AI_Full_Deception,TikTok,28,Female,5,Yes,4,4,3,Writing wedding vows,2,2,2,2,2
11,AI_Full_Deception,TikTok,28,Female,5,Yes,4,4,4,Writing a bereavement card to a family member,3,3,2,2,2
11,AI_Full_Deception,TikTok,28,Female,5,Yes,4,4,5,Writing a marriage proposal,2,1,1,2,2
11,AI_Full_Deception,TikTok,28,Female,5,Yes,4,4,6,Solving a mathematical equation,4,4,2,3,3
12,AI_Tool_Deception,TikTok,36,Female,7,Yes,4,5,1,Writing a marriage proposal,3,4,4,5,4
12,AI_Tool_Deception,TikTok,36,Female,7,Yes,4,5,2,Writing a short story,3,4,3,5,4
12,AI_Tool_Deception,TikTok,36,Female,7,Yes,4,5,3,Planning a city tour for a friend,2,4,4,6,3
12,AI_Tool_Deception,TikTok,36,Female,7,Yes,4,5,4,Writing a poem,2,4,4,5,3
12,AI_Tool_Deception,TikTok,36,Female,7,Yes,4,5,5,Writing a bereavement card to a family member,2,3,2,6,3
12,AI_Tool_Deception,TikTok,36,Female,7,Yes,4,5,6,Generating a shopping list,3,4,4,5,4
13,AI_Tool_Honest,TikTok,43,Female,6,Yes,2,2,1,Generating a shopping list,4,4,4,7,7
13,AI_Tool_Honest,TikTok,43,Female,6,Yes,2,2,2,Planning a surprise birthday party for a friend,7,4,7,1,1
13,AI_Tool_Honest,TikTok,43,Female,6,Yes,2,2,3,Writing a love letter,7,4,7,7,7
13,AI_Tool_Honest,TikTok,43,Female,6,Yes,2,2,4,Writing a dinner recipe,7,4,5,7,7
13,AI_Tool_Honest,TikTok,43,Female,6,Yes,2,2,5,Writing a cover letter for a job application,7,5,7,1,7
13,AI_Tool_Honest,TikTok,43,Female,6,Yes,2,2,6,Writing an apology letter to a friend,7,4,4,1,7
14,AI_Full_Deception,TikTok,72,Male,4,No,2,2,1,Writing a short story,5,2,1,1,2
14,AI_Full_Deception,TikTok,72,Male,4,No,2,2,2,Writing a marriage proposal,5,3,3,2,3
14,AI_Full_Deception,TikTok,72,Male,4,No,2,2,3,Writing computer code,5,2,1,1,2
14,AI_Full_Deception,TikTok,72,Male,4,No,2,2,4,Planning a surprise birthday party for a friend,5,3,3,2,3
14,AI_Full_Deception,TikTok,72,Male,4,No,2,2,5,Writing a dinner recipe,5,4,3,3,3
14,AI_Full_Deception,TikTok,72,Male,4,No,2,2,6,Writing a love letter,4,1,2,2,2
15,AI_Tool_Deception,TikTok,34,Female,5,Yes,3,5,1,Writing an apology letter to a friend,2,2,3,5,3
15,AI_Tool_Deception,TikTok,34,Female,5,Yes,3,5,2,Creating a daily schedule,3,2,3,5,4
15,AI_Tool_Deception,TikTok,34,Female,5,Yes,3,5,3,Planning a city tour for a friend,3,2,3,5,4
15,AI_Tool_Deception,TikTok,34,Female,5,Yes,3,5,4,Writing a short story,2,2,2,6,3
15,AI_Tool_Deception,TikTok,34,Female,5,Yes,3,5,5,Solving a mathematical equation,1,2,2,7,3
15,AI_Tool_Deception,TikTok,34,Female,5,Yes,3,5,6,Writing wedding vows,2,2,2,5,3
16,AI_Tool_Deception,YouTube,39,Male,3,No,1,4,1,Writing a marriage proposal,3,5,5,2,5
16,AI_Tool_Deception,YouTube,39,Male,3,No,1,4,2,Writing a love letter,6,7,5,3,5
16,AI_Tool_Deception,YouTube,39,Male,3,No,1,4,3,Writing a short story,2,3,3,3,3
16,AI_Tool_Deception,YouTube,39,Male,3,No,1,4,4,Writing computer code,5,6,4,4,5
16,AI_Tool_Deception,YouTube,39,Male,3,No,1,4,5,Writing a bereavement card to a family member,5,5,5,5,6
16,AI_Tool_Deception,YouTube,39,Male,3,No,1,4,6,Generating a shopping list,4,7,5,2,5
17,Control,Newspapers,27,Female,2,No,1,2,1,Writing wedding vows,7,5,5,1,7
17,Control,Newspapers,27,Female,2,No,1,2,2,Creating a daily schedule,7,4,4,1,7
17,Control,Newspapers,27,Female,2,No,1,2,3,Writing an apology letter to a friend,7,6,6,2,7
17,Control,Newspapers,27,Female,2,No,1,2,4,Writing a cover letter for a job application,7,5,5,5,2
17,Control,Newspapers,27,Female,2,No,1,2,5,Writing a bereavement card to a family member,7,6,6,1,2
17,Control,Newspapers,27,Female,2,No,1,2,6,Writing a poem,7,5,5,2,3
18,AI_Tool_Deception,TikTok,31,Female,7,Yes,4,5,1,Writing an apology letter to a friend,3,1,1,5,2
18,AI_Tool_Deception,TikTok,31,Female,7,Yes,4,5,2,Writing a poem,2,1,1,4,3
18,AI_Tool_Deception,TikTok,31,Female,7,Yes,4,5,3,Solving a mathematical equation,2,1,4,4,3
18,AI_Tool_Deception,TikTok,31,Female,7,Yes,4,5,4,Writing wedding vows,2,1,1,7,1
18,AI_Tool_Deception,TikTok,31,Female,7,Yes,4,5,5,Planning a city tour for a friend,4,1,4,1,2
18,AI_Tool_Deception,TikTok,31,Female,7,Yes,4,5,6,Planning a syllabus,3,1,4,4,3
19,AI_Full_Deception,TikTok,32,Male,5,Yes,2,5,1,Writing a cover letter for a job application,3,3,3,4,3
19,AI_Full_Deception,TikTok,32,Male,5,Yes,2,5,2,Planning a city tour for a friend,3,3,4,4,3
