id,treatment,task,answer,captcha,attention,age,gender,essay_seconds,comprehension,well_written,meaningful,authentic,grade,reward,competent,warm,moral,lazy,trustworthy,manipulation_check,believe_check,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust
1,Tool,NonSocial,Titanic,1,TikTok,23,Non-binary / third gender,70.971,The film 'Titanic',4,3,3,C,0.3,3,4,3,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,No,1,1
2,Control,NonSocial,Hobbit,1,TikTok,19,Male,70.283,The book 'The Hobbit',7,6,7,A,1,7,5,5,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,3
3,Control,NonSocial,Hobbit,1,TikTok,51,Female,81.661,The book 'The Hobbit',6,5,6,B,0.8,6,5,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
4,Control,NonSocial,Hobbit,1,TikTok,33,Male,48.153,The book 'The Hobbit',3,2,2,C,0.29,4,3,4,5,4,"They wrote it themselves, without any help from ChatGPT",No,2,No,1,2
5,Tool,Social,Father,1,TikTok,25,Female,53.549,Their father,4,6,6,B,0.9,5,6,6,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
6,Tool,NonSocial,Hobbit,1,TikTok,46,Female,76.329,The book 'The Hobbit',4,3,4,C,0.1,4,3,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,4
7,Control,NonSocial,Hobbit,1,TikTok,41,Female,21.114,The book 'The Hobbit',5,5,5,B,1,6,6,5,4,5,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,3
8,Control,NonSocial,Hobbit,1,TikTok,28,Female,80.485,The book 'The Hobbit',7,5,5,B,1,7,7,6,1,1,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,2,3
9,Tool,Social,Father,1,TikTok,21,Female,25.825,Their father,4,5,5,C,0.15,7,7,5,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,6
10,Control,NonSocial,Hobbit,1,TikTok,25,Female,60.972,The book 'The Hobbit',7,7,7,B,1,7,5,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
11,Full,Social,Sister,1,TikTok,36,Female,22.628,Their sister,6,6,5,B,0.85,4,4,3,2,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
12,Control,Social,Sister,1,TikTok,33,Female,40.037,Their sister,7,7,7,B,0.85,7,7,7,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
13,Control,NonSocial,Hobbit,1,TikTok,54,Male,38.888,The book 'The Hobbit',3,4,7,C,1,3,4,4,4,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,3,5
14,Control,NonSocial,Buffy,1,TikTok,25,Male,35.059,The TV show 'Buffy the Vampire Slayer',6,5,7,B,0.85,6,5,6,2,4,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,5,6
15,Tool,Social,Father,1,TikTok,33,Female,20.355,Their father,4,2,2,D,0.3,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,1
